Volume,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,N,N/A,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,N,N/A,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,N,N/A,N
,,12,Good,Poems,Jean Chapman,Poem,Paragraph,N,N,N,N,N/A,N
,,13,Good,Cartoon,Tina Davidson,Poem,Paragraph,Y,Comic,N,N,N/A,N
,,14,Good,N/A,N/A,Letters,Columns,Y,Advert,Book,Y,Letters to Sappho and replies ,N
,,15,Good,First Affair,Gloria,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Gloria,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Gloria,Article,Columns,N,N,N,N,N/A,N
,,18,Good,Poems,Jean,Poem,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,"Jean, Sheila Hoad",Poem,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Felice Newman,Poem,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,"Felice Newman, Susanna Fields",Poem,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,Dorothy Margaret Ward,Poem,Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,Janet Spice,Poem,Columns,Y,Advert,"Super Services, Other magazines, Groups",N,N/A,"Meetings for advertised groups, Disco"
,,25,Good,N/A,Hannah P. Rodgers,Poem,Columns,Y,Advert,Other magazines,N,N/A,N
,,26,Good,Help,Margaret Cunningham,Help!,Paragraph,Y,Title,N,Y,New reader segment ,N
,,27,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Necklace, Dating service",N,N/A,N
,,28,Good,Poem/Cartoon,Parsley Power Sarith,Poem,Columns,Y,Comic,Sappho promotion ,N,N/A,Disco
,,29,Good,N/A,Gloria,Article,Columns,Y,Advert,Sappho Pendant,N,N/A,N
,,30,Good,Book Review,"Angela Stewart-Park, Jules Cassidy",Review,Paragraph,N,N,N,N,N/A,N
,,31,Good,N/A,"Rosanna Hibbert, Myrtle Nixon",Review,Paragraph,N,N,N,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
6,1,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,"Title, Graphic",Disco,N,N/A,Disco
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,"CHE Winter Fayre, NOOL Conference"
,,6,Good,Silent Majority,Gloria Cohen,"Sapphoscene, Article ",Columns,Y,Comic,N,N,N/A,N
,,7,Good,N/A,Gloria Cohen,Article,Columns,Y,Graphic,N,N,N/A,N
,,8,Good,Bewildering New World ,Diana Jones,Article,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,11,Good,Paedophiles in Peril,Gook,Article,Columns,N,N,N,N,N/A,N
,,12,Good,Short Story,Dorothy Mary Ward,Story,Columns,N,N,N,N,N/A,N
,,13,Good,N/A,Dorothy Mary Ward,Story,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Dorothy Mary Ward,Story,Columns,Y,"Comic, Advert",Book,N,N/A,N
,,15,Good,Lesbians and Virgins ,Phoenix,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,"Phoenix, Myrtle Nixon",Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,"Myrtle Nixon, Regina",Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,"Regina, A.B.",Article,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,"A.B., E.I.Louch","Article, Poem",Columns,Y,Small Graphic,N,N,N/A,N
,,20,Good,N/A,Eve Fitzpatrick,Poem,Paragraph,N,N,N,N,N/A,N
,,21,Good,Sandy,N/A,Comic,"Illustration, Text",Y,Large Comic,N,N,N/A,N
,,22,Good,Sappho's Dictionary ,Fran,Article,Paragraph,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Sappho promotion, Super Services, Financial Consultations, Other magazines",N,N/A,N
,,25,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"CHE, Other magazines",N,N/A,N
,,26,Good,N/A,Gook,Article,Columns,Y,Comic,N,N,N/A,N
,,27,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,Dating Service NYE Party,N,N/A,NYE Party
,,28,Good,Books,Veronica Harvey ,Review,Columns,Y,Advert,Sappho promotion ,N,N/A,Disco
,,29,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,"Sappho Pendant, Women's Cinema",N,N/A,Cinema dates
,,30,Good,N/A,Veronica Harvey ,Review,Columns,Y,Graphic,N,N,N/A,N
,,31,Good,Crossword,Barbara Davies ,Crossword,"Illustration, Text",Y,Crossword,N,Y,Crossword,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good ,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,36,Good ,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Good,N/A,N/A,,,,,,,,
,,2,Good,N/A,N/A,,,,,,,,
,,3,Good,N/A,N/A,,,,,,,,
,,4,Good,Sapphoscene,N/A,,,,,,,,
,,5,Good,N/A,Jackie Forster,,,,,,,,
,,6,Good,Short Story,Jackie Forster,,,,,,,,
,,7,Good,N/A,,,,,,,,,
,,8,MISSING,N/A,,,,,,,,,
,,9,MISSING,Heteraecetera,,,,,,,,,
,,10,Good,N/A,,,,,,,,,
,,11,Good,Over to You,,,,,,,,,
,,12,Good,N/A,,,,,,,,,
,,13,Good,N/A,,,,,,,,,
,,14,Good,N/A,,,,,,,,,
,,15,Good,N/A,,,,,,,,,
,,16,Good,N/A,,,,,,,,,
,,17,Good,N/A,,,,,,,,,
,,18,Good,Remarkable Woman,,,,,,,,,
,,19,Good,N/A,,,,,,,,,
,,20,Good,Poems,,,,,,,,,
,,21,Good,Custody Problems,,,,,,,,,
,,22,Good,N/A,,,,,,,,,
,,23,Good,Amazon,,,,,,,,,
,,24,Good,Theatre,,,,,,,,,
,,25,Good,N/A,,,,,,,,,
,,26,Good,N/A,,,,,,,,,
,,27,Good,Books,,,,,,,,,
,,28,Good,More Up Country,,,,,,,,,
,,29,Good ,N/A,,,,,,,,,
,,30,Good,N/A,,,,,,,,,
,,31,Good,"Hey, Amazon!",,,,,,,,,
,,32,Good ,N/A,,,,,,,,,
,,33,Good ,N/A,,,,,,,,,
,,34,Good,N/A,,,,,,,,,
,,35,Good,N/A,,,,,,,,,
,,36,Good,N/A,,,,,,,,,
,5,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscription,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Ok,N/A,N/A,Sapphoscene ,Columns,Y,Photograph,N,N,N/A,N
,,6,Good,N/A,N/A,Sapphoscene ,Columns,Y,Comic,N,N,N/A,Gay Pride Week
,,7,Good,The Woman,Anna,Story,Columns,N,N,N,N,N/A,N
,,8,Ok,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Other magazines,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good ,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good ,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good ,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,First Sex,Cherry Pitcher ,Story,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,14,Good,Poems,Alison J. Laurie,Poem,Columns,Y,Photograph,N,N,N/A,N
,,15,Ok,N/A,"Judith Crewe, Katharyn R. Gabriella",Poem,Columns,N,N,N,N,N/A,N
,,16,Good,Poly Styrene ,Kim de Testre,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Kim de Testre,Article,Columns,Y,Large graphic,N,N,N/A,N
,,18,Good,Colour,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,Vera Keast,Article,Columns,N,N,N,N,N/A,N
,,22,Ok,N.C.C.L.,N/A,Article,Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Review,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,N/A,Letters,Columns,N,N,N,N,N/A,N
,,25,Good,Book Review,N/A,Review,Columns,Y,"Title, Graphic",N,N,N/A,N
,,26,Good,Record Review ,Kim de Testre,Review,Columns,Y,Graphic,N,N,N/A,N
,,27,Good,Children,Janice Hetherington,Poem,Paragraph,N,N,N,N,N/A,N
,,28,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,"Sappho promotion, Super Services, Other magazines",N,N/A,N
,,29,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Sappho Pendant,N,N/A,N
,,30,Good,Pursuing ,Diana Jones,Article,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,Diana Jones,Article,Columns,Y,Comic,N,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,7,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscription,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,Y,Advert,"Hotel, Job",N,N/A,N
,,6,Good,Poems,Gillian E. Hanscombe,Poem,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Pat Arrowsmith,Poem,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,N/A,Adverts,Paragraph,N,N,CHE Conference,Y,Registration for conference,CHE Conference
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,Your Closet Or Mine,Shirl Everage ,Article,Columns,Y,Graphic,N,N,N/A,N
,,12,Good,N/A,Shirl Everage ,Article,Columns,N,N,N,N,N/A,N
,,13,Good,N/A,Shirl Everage ,Article,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Shirl Everage ,Article,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Shirl Everage ,Article,Columns,N,N,N,N,N/A,N
,,16,Good,Lesbian Conference,Joni Sheerin,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Joni Sheerin,Article,Columns,Y,Comic,N,N,N/A,N
,,18,Good,Remarkable Women,Kim de Testre,Article,Columns,Y,Large graphic,N,N,N/A,N
,,19,Good,N/A,Kim de Testre,Article,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Rosanna Hibbert,Article,Columns,N,N,N,N,N/A,N
,,21,Good ,"Shopping Event, Poems",Rosanna Hibbert,Poem,Columns,Y,Graphic,N,N,N/A,N
,,22,Good,N/A,"Alison J. Laurie, Kim de Testre","Poem, Article",Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,Eyeless in Gaydom,L.J.G.,Article,Columns,N,N,N,N,N/A,N
,,25,Good ,Sappho Tue ,Sue Hale,Article,Paragraph,N,N,N,N,N/A,N
,,26,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,27,Good,Reviews,D.M.C.,Review,Columns,N,N,N,N,N/A,N
,,28,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Sappho promotion, Super Services, Other magazines",N,N/A,N
,,29,Good,N/A,Kim de Testre,Review,Columns,N,N,N,N,N/A,N
,,30,Good,N/A,"Kim de Testre, Maggie Redding",Review,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,"Maggie Redding, J.F.",Review,Columns,Y,Advert,Sappho Pendant,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Dating Service  ,N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Good ,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good ,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscription,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,6,Good,Two Mates and Tomatoes,Rusty the Rustic,Story,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Rusty the Rustic,Story,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Rusty the Rustic,Story,Columns,Y,Comic,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,14,Good,Setting Sappho Straight,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,15,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,16,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,17,Good,We are Everywhere ,Myrtle Nixon,Article,Columns,Y,Comic,N,N,N/A,N
,,18,Ok,The Ladies Pay Up,N/A,Article,Paragraph,N,N,N,N,N/A,N
,,19,Good,Badgered ,Mary Winter ,Press statement,Columns,N,N,N,N,N/A,N
,,20,Good,Mixed Collective ,Anthony Peppiatt,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,Anthony Peppiatt,Article,Columns,Y,Comic,N,N,N/A,N
,,22,Good,"Lesbians, Rape, Custody",Kristine McDougall,Article,Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Ok,N/A,N/A,Article,Paragraph,Y,Advert,Beanbags,N,N/A,N
,,25,Good,Poems,"Lynn M. Trowbridge, C.M. Pickersgill",Poem,Paragraph,N,N,N,N,N/A,N
,,26,Ok,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,27,Good,N/A,Pat Simpson,Poem,Paragraph,Y,Graphic,N,N,N/A,N
,,28,Good,N/A,N/A,Adverts,"Illustration, Text",Y,"Advert, Map to Office",Sappho promotion ,N,N/A,N
,,29,Good,Books,"Jill Reader-Moore, E.I. Louch, D.M.C.","Poem, Review",Columns,Y,"Title, Graphic",N,N,N/A,N
,,30,Good,Short Story,Margaret Nicolson,Story,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,Joan Young,"Story, Article",Columns,Y,Comic,Sappho Pendant,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Dating Service  ,N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,11,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscription,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,"Disco, Meetings, CHE Winter Fayre",N,N/A,"Disco, Winter Fayre"
,,5,Good,N/A,N/A,Sapphoscene ,Columns,Y,Comic,N,N,N/A,N
,,6,Good,NQQL,Nikki Henriques,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Nikki Henriques,Article,Columns,Y,Comic,N,N,N/A,N
,,8,Good,Competition,N/A,Competition,"Illustration, Text",Y,"Collage, Advert",CHE ,Y,Competition,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,Crossword,N/A,Crossword,Crossword,Y,Crossword,N,Y,Crossword,N
,,13,Good,N/A,N/A,Crossword,Columns,Y,Title,N,Y,Crossword,N
,,14,Good,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,15,Good,Gays in Media,Nikki Henriques,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Nikki Henriques,Article,Columns,N,N,N,N,N/A,N
,,17,Good,Colour Supplement ,N/A,Colouring-in,"Illustration, Text",Y,Comic collage,N,Y,Colouring-in,N
,,18,Good,N/A,N/A,Colouring-in,"Illustration, Text",Y,"Sandy badge, Dot-to-dot, Comic",N,Y,Colouring-in,N
,,19,Good,N/A,N/A,Colouring-in,"Illustration, Text",Y,Comic collage,N,Y,Colouring-in,N
,,20,Good,N/A,N/A,Colouring-in,"Illustration, Text",Y,Playbutch calendar,N,Y,Colouring-in,N
,,21,Good,Cartoon,Nikki Henriques,Article,Columns,Y,Comic,N,N,N/A,N
,,22,Good,Story,Caroline Natzler,Story,Columns,Y,Graphic,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,"Beanbags, Other magazines",N,N/A,N
,,25,Good,N/A,Caroline Natzler,Story,Columns,N,N,N,N,N/A,N
,,26,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,27,Good,N/A,Caroline Natzler,Story,Columns,N,N,N,N,N/A,N
,,28,Good ,N/A,N/A,Adverts,"Illustration, Text",Y,"Advert, Map to Office",Sappho promotion ,N,N/A,N
,,29,Good,Press Council,Jackie Forster,Article,Columns,N,N,N,N,N/A,N
,,30,Good,N/A,Jackie Forster,Article,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,Jackie Forster,Article,Columns,Y,Advert,Sappho Pendant,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Dating Service  ,N,N/A,N
,,36,MISSING,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
7,1,1,Photo,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Photo,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscription,N
,,3,Photo,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Photo,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,Groups ,N,N/A,N
,,5,Photo,N/A,N/A,Sapphoscene ,Columns,N,N,Holiday,N,N/A,N
,,6,Photo,Sappho Magachine,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,7,Photo,N/A,Geraldine Cowper,Article,Columns,N,N,N,N,N/A,N
,,8,Photo,Heteraecetera,Geraldine Cowper,Article,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,9,Photo,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,10,Photo,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Photo,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Photo,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Photo,OAP'S Day,"Geraldine Cowper, Mabel",Article,Columns,N,N,N,N,N/A,N
,,14,Photo,Sappho '79,Jenny Green,Article,Paragraph,N,N,N,N,N/A,N
,,15,Photo,N/A,Jenny Green,Article,Paragraph,N,N,N,N,N/A,N
,,16,Photo,N/A,N/A,Article,Text boxes,N,N,Hotel ,N,N/A,N
,,17,Photo,Gays in Media Award,N/A,Nomination form,Paragraph,N,N,GAYS IN MEDIA AWARDS,Y,Form,Gays in Media Awards
,,18,Photo,Rural Ride,Rusty the Rustic,Story,Columns,N,N,N,N,N/A,N
,,19,Photo,N/A,Rusty the Rustic,Story,Columns,Y,Graphic,N,N,N/A,N
,,20,Photo,N/A,N/A,Crossword,Crossword,Y,Crossword,N,Y,Crossword,N
,,21,Photo,Crossword Solution,N/A,Comic,"Illustration, Text",Y,Large Comic,N,N,N/A,N
,,22,Photo,Sandy Cartoon,N/A,Comic,"Illustration, Text",Y,Large Comic,N,N,N/A,N
,,23,Photo,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Photo,N/A,N/A,Article,Paragraph,N,N,Other magazines,N,N/A,N
,,25,Photo,Common Cold,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,26,Photo,N/A,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,27,Photo,N/A,Carol Lee,Article,Columns,Y,Advert,"Hotel, Sappho Sunday Soirees",N,N/A,Sappho Sunday Soirees
,,28,Photo,N/A,N/A,Adverts,Text boxes,Y,Advert,"Sappho promotion, Office map, Disco",N,N/A,Disco 
,,29,Photo,Film Review,"Sheril Berkovitch, M. Murray ",Review,Columns,N,N,N,N,N/A,N
,,30,Photo,Polly's Club,Kim de Testre,Review,Columns,Y,Large graphic,N,N,N/A,N
,,31,Photo,Poem ,"Rosie Hibbert, Lesley Wilson, Roz Stott",Poem,Columns,N,N,N,Y,Competition,N
,,32,Photo,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Photo,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Photo,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Photo,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,36,Photo,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Photo,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Photo,N/A,N/A,Sappho,Text boxes,Y,"Title, Graphic","Poetry book, Disco",Y,Cassette club,Disco 
,,3,Photo,N/A,N/A,"Editorial, Credits",Text boxes,Y,"Title, Comic, Graphic",N,N,N/A,N
,,4,Photo,SAPPHOSCENE,N/A,Sapphoscene ,Columns,Y,Title,"Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,5,Photo,LIVING IS EASY,Veronica Harvey ,"Sapphoscene, Article ",Columns,N,N,N,N,N/A,N
,,6,Photo,"UP COUNTRY, OUR FIRST MEETING, THE GARDEN","Ruth Chalmer, M.C.D., J.K.",Story,"Paragraph, Columns",Y,Graphic,N,N,N/A,N
,,7,Photo,HETERAECETERA ,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,8,Photo,N/A,Peter Robins,"Letters, Story",Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,9,Photo,ALL I REMEMBER,Peter Robins,Story,Columns,N,N,N,N,N/A,N
,,10,Photo,ALCOHOLICS,Charlotte Cubitt,Article,Columns,N,N,N,N,N/A,N
,,11,Photo,MAMMOTH SPEAKS,"C.M. Pickersgill, Rosanna Hibbert",Article,Columns,N,N,Hotel ,N,N/A,N
,,12,Photo,"AMAZON, SANDY",N/A,"Article, Comic",Columns,Y,"Title, Comic, Graphic",N,N,N/A,N
,,13,Photo,POEMS,"robin selman, E.I. Louch",Poem,Paragraph,Y,Graphic,N,N,N/A,N
,,14,Photo,"SOLIDARITY, TRAIN JOURNEY","P.P.S., Jacky, Rusty the Rustic, S.M. Oliver","Poem, Story",Columns,Y,Border,Sappho promotion ,N,N/A,N
,,15,Photo,"QUIZ, LOVE","S.M. Oliver, A.J.L. ","Article, Quiz, Letters, Poem",Columns,N,N,N,Y,Quiz,N
,,16,Photo,BOOKS,"A.J.L., Myrtle Nixon, Phoenix",Review,Columns,Y,Title,N,N,N/A,N
,,17,Photo,N/A,Phoenix,Review,Columns,Y,Title,N,Y,Crossword,N
,,18,Photo,SPIKE,N/A,Sappho,Columns,Y,Title,"Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
